ref,title,issuer,funder,country,language,source,link,found,deadline,value,status,pipeline,eligible,topic_fit,scope_match,funder_fit,geo_language,size_vs_capacity,tech_fin_split,deadline_runway,partnering,score,recommendation,notes
RFP-002-2026,Design & Delivery of Central Banking Program / Academy - EIFS (National Bank of Ethiopia),BKP Economic Advisors (SWIFT Program),Mastercard Foundation,Ethiopia,English,Project portal (direct),https://swiftethiopia.org/,2026-07-01,2026-07-20,,Open,Tender,Y,3,3,2,3,2,3,2,2,85,GO - Bid,Benchmark. Full chain; 70/30; 49/70 gate; due 20 Jul.
CBK/108/2025-2026,Provision of training services - CBK Institute of Monetary Studies (3-yr framework; re-advertisement),Central Bank of Kenya,Central Bank of Kenya (self-funded),Kenya,English,CBK portal (via Tenderyetu),link,2026-07-01,2026-04-21,,Closed,Tender,?,3,2,1,3,2,2,0,2,65,GO - Bid,Recurring 3-yr framework; alert next cycle.
ACBF (Devex #1393959),"Regional training workshops on national capital & money markets (central banks, supervisors, DMOs)",African Capacity Building Foundation (ACBF),ACBF / partners,Multinational (Africa),English & French,Devex,n/a,2026-07-01,,,Closed,Tender,Y,3,3,2,2,2,2,0,2,71.7,GO - Bid,Close twin; EN/FR; recurring issuer.
FSD/SRVC/2026/00007,Prequalification of individual consultants - Data Engineers / Scientists for Bank of Uganda,FSD Uganda (for Bank of Uganda),FCDO / UK aid (via FSD),Uganda,English,DevelopmentAid / FSD Uganda,n/a,2026-07-01,2026-05-21,,Closed,Tender,Y,1,1,2,2,1,1,0,1,38.3,No-Go (low fit),IT staffing — low fit; keep FSD monitored.
FSDA-CMMP-2.0,Development of the 2nd Kenya Capital Markets Master Plan (CMMP 2.0) - incl. capacity-building & knowledge-transfer plan,Capital Markets Authority Kenya + FSD Africa,FCDO / UK aid (via FSD Africa),Kenya,English,DevelopmentAid / FSD Africa,n/a,2026-07-01,2026-03-19,,Closed,Tender,Y,2,1,2,3,2,2,0,2,58.3,Maybe - Watch,Partial fit; watch training follow-ons.
FSDA-CARBON-EOI,Carbon Centre of Expertise - expression of interest (individuals & firms),FSD Africa,FCDO / UK aid (via FSD Africa),Africa (regional),English,DevelopmentAid / FSD Africa,n/a,2026-07-01,,,Closed,Tender,Y,0,0,2,2,1,1,3,1,36.7,No-Go (low fit),Off-topic roster; screened out.
TDB-AMLCFT-TRG,"Provision of training on AML/CFT, sanctions, ABC & financial-crime compliance (TDB staff)",Trade & Development Bank (TDB),TDB (self-funded),"Regional (KE, MU, ET, ZW, DRC)",English,DevelopmentAid / TDB,n/a,2026-07-01,,,Closed,Tender,Y,2,2,2,2,2,2,1,2,63.3,Maybe - Watch,Adjacent; recurring training buyer.
FSVC-CBS-SUP,TA to strengthen Central Bank of Somalia bank supervision & AML foundations,Financial Services Volunteer Corps (FSVC),FSVC / donor-funded,Somalia,English,Devex,n/a,2026-07-01,,,Unknown,Tender,Y,2,1,1,1,1,1,1,1,40,No-Go (low fit),"Individual role, fragile context; monitor issuer."
RF-ARO-2026,ARO Power & Climate contractor,Rockefeller Foundation,Rockefeller Foundation,Africa (regional),English,rockefellerfoundation.org/rfp,https://www.rockefellerfoundation.org/wp-content/uploads/2025/12/Africa-Regional-Office-ARO-Power-and-Climate-Contractor.pdf,2026-07-02,2026-01-19,,Closed,Vendor RFP,Y,2,2,2,3,2,2,0,2,63.3,Maybe - Watch,Vendor-RFP genre recurs; watch /rfp.
RF-TCM-2025,Transition credit market development consultant,Rockefeller Foundation,Rockefeller Foundation,Global / Asia,English,rockefellerfoundation.org/rfp,https://www.rockefellerfoundation.org/rfp/transition-credit-market-development-consultant/,2026-07-02,2025-12-19,,Closed,Vendor RFP,Y,2,2,2,2,2,2,0,2,60,Maybe - Watch,Capital-convening consultancy; strong genre fit.
CG-EG-2026,RFP on effective giving,Coefficient Giving,Coefficient Giving,Global,English,coefficientgiving.org,https://coefficientgiving.org/funds/effective-giving-and-careers/rfp-on-effective-giving/,2026-07-02,2026-06-26,,Closed,Grant call,?,1,1,1,2,2,2,0,1,40,No-Go (low fit),Nonprofit grant call; watch funds pages.
TA-WADF-R1,West Africa Democracy Fund — Round 1,TrustAfrica,TrustAfrica + partners,West Africa (7),EN / FR,trustafrica.org,https://trustafrica.org/proposals/,2026-07-02,2026-04-30,,Closed,Grant call,Y,1,2,1,2,2,2,0,3,51.7,Maybe - Watch,Institution-strengthening grants; Round 2 alert.
GC-OPEN,Grand Challenges — open RFPs (rolling),Gates Foundation,Gates Foundation,Global / LMIC,English,grandchallenges.org,https://www.grandchallenges.org/grant-opportunities,2026-07-02,,,Closed,Grant call,Y,1,1,1,2,2,2,3,2,53.3,Maybe - Watch,Feed empty 6 Jul; last call closed 16 Jun. Re-check weekly.
CW-AR-FIN,A&R Fund — adaptation finance RFP,ClimateWorks + partners,Pooled (incl. Rockefeller),Africa / Asia,English,climateworks.org,climateworks.org,2026-07-02,,,Unknown,Grant call,Y,2,2,1,2,2,2,1,2,58.3,Maybe - Watch,Capital-mobilisation category; verify round.
HAI-2026,Humanity AI pooled fund — first calls,MacArthur + Omidyar (10 funders),Pooled ($500M),Global,English,via Rockefeller Phil. Advisors,rockpa.org,2026-07-02,,,Forecast,Grant call,Y,1,1,1,1,2,2,3,2,50,Maybe - Watch,Grants begin 2026; watch.
CARE-SHECON,SheConnects Digital Accelerator Africa,CARE,CARE + partners,Sub-Saharan Africa,English,@AfricanNGOs roundup,https://tinyurl.com/mwtepuw4,2026-07-06,2026-07-08,,Closed,Grant call,?,1,1,1,3,2,2,0,2,46.7,No-Go (low fit),Due in 2 days; funds implementers — pass.
EU-ZA-ESG,"Civil society, human rights & ESG accountability — South Africa",European Commission,EU,South Africa,English,@AfricanNGOs roundup,https://tinyurl.com/yyt2v9wa,2026-07-06,2026-07-23,,Open,Grant call,?,1,1,1,2,3,2,2,2,53.3,Maybe - Watch,EUR 5.16M; consortium entry possible.
SOR-COLLAB,Collaboration Fund — impact-investing field-builders,Sorenson Impact Institute,Sorenson Impact Institute,Global,English,@AfricanNGOs roundup,https://tinyurl.com/yty3hc77,2026-07-06,2026-06-11,,Closed,Grant call,?,2,1,1,2,2,2,0,2,50,Maybe - Watch,Conveners-of-capital exemplar; watch Sorenson.
FID-INNOV,Global poverty & inequality innovations (FID),Fund for Innovation in Development,AFD-hosted,LMICs (excl. BF/Mali/Niger),EN/FR,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/4by6jwr2,2026-07-07,,,Open,Grant call,Y,3,2,1,3,3,2,3,2,78.3,GO - Bid,EUR 50K-4M; evidence-based innovation. Rolling.
DIV-USAID,Development Innovation Ventures — staged innovation fund,DIV Fund,DIV,Developing countries,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/yc7k26wy,2026-07-07,,,Open,Grant call,Y,3,2,1,2,2,2,3,2,71.7,GO - Bid,Up to $1.5M; verify current status. Rolling.
PF-PPR,"Pandemic prevention, preparedness & response",The Pandemic Fund,Pandemic Fund,15 countries (Africa-heavy),EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/yr9hhy5b,2026-07-07,2027-03-31,,Open,Grant call,?,2,2,1,2,2,1,3,2,61.7,Maybe - Watch,$244M; access via accredited entities.
DARWIN-R32,Darwin Initiative Round 32 — Main,UK Government,Defra,Developing countries,EN,@AfricanNGOs Jun-Jul roundup,https://www.darwininitiative.org.uk/how-to-apply,2026-07-07,2026-07-20,,Open,Grant call,Y,2,2,1,2,2,2,1,2,58.3,Maybe - Watch,GBP 200K-1M; biodiversity + livelihoods.
ONE-NGO,NGO capacity support (SEED/THRIVE),Oneness Revival Team,Oneness Revival Team,Africa,EN,@AfricanNGOs Jun-Jul roundup,https://onenessrevivalteam.info/grant-application,2026-07-07,2026-12-20,,Open,Grant call,Y,2,2,1,2,1,2,3,1,58.3,Maybe - Watch,$25-50K; capacity strengthening.
DRK-SE,Early-stage social enterprises,Draper Richards Kaplan Foundation,DRK,Global,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/bdbncswh,2026-07-07,,,Open,Grant call,Y,2,1,1,2,2,2,3,1,56.7,Maybe - Watch,Up to $300K. Rolling.
AVERY-EDU,"Education, environment & livelihoods",Avery Dennison Foundation,Avery Dennison,High-need communities,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/44j9jz8d,2026-07-07,,,Open,Grant call,Y,2,1,1,2,2,2,3,1,56.7,Maybe - Watch,$50-100K. Rolling.
EC-ZW-MED,NGOs & media for democracy — Zimbabwe,European Commission,EU,Zimbabwe,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/bddbjeed,2026-07-07,2026-07-20,,Open,Grant call,?,1,2,1,2,3,2,1,2,55,Maybe - Watch,EUR 2M; institutional capacity strand.
DANA-LLD,Locally-led development initiatives,Dana Foundation,Dana Foundation,LMICs,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/bdhnuzte,2026-07-07,2026-12-31,,Open,Grant call,?,2,1,1,2,1,2,3,1,53.3,Maybe - Watch,EUR 150K; budget cap <EUR 500K.
GFCF-CP,Fostering community philanthropy,Global Fund for Community Foundations,GFCF,Global South,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/73ubmun7,2026-07-07,,,Open,Grant call,Y,2,1,1,2,1,2,3,1,53.3,Maybe - Watch,$7-20K; philanthropy field-building. Rolling.
TWF-MPF,Mobilise Power Fund — window 2,Third Wave Fund,Third Wave Fund,Gender-justice orgs,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/mt2y6xhn,2026-07-07,2026-09-08,,Open,Grant call,?,1,1,1,1,1,2,3,1,43.3,No-Go (low fit),$10-20K rapid pivots.
CEPF-MDG,Threatened tree species — Madagascar,Critical Ecosystem Partnership Fund,CEPF,Madagascar,EN/FR,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/yc5hhunx,2026-07-07,2026-07-07,,Closed,Grant call,Y,1,1,1,1,2,2,0,2,40,No-Go (low fit),$50-200K; closes today.
AUS-DAP,Direct Aid Programme — locally-led projects,Australian Embassy Zimbabwe,Australia DFAT,DRC/MW/RoC/ZM/ZW,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/yjwt69cb,2026-07-07,2026-07-13,,Closed,Grant call,?,1,1,1,2,1,2,1,1,40,No-Go (low fit),AUD 80K community grants.
ZA-DSD,SA NPO funding 2027/28-2029/30,National Dept of Social Development,South Africa DSD,South Africa,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/ybasp3ye,2026-07-07,2026-07-17,,Open,Grant call,?,1,1,1,2,2,2,1,1,43.3,No-Go (low fit),Social-services subprogrammes; SA NPOs.
AFNET-FG,AFNet flexible grant,African Women for Change Network,AFNet,Africa,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/hpn4bur3,2026-07-07,,,Open,Grant call,?,1,1,1,2,0,2,3,1,43.3,No-Go (low fit),$5K; women-led. Rolling.
BENUE-CDI,Community development — Benue State,BenueAID,BenueAID,Nigeria (Benue),EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/mr2ymjjz,2026-07-07,,,Open,Grant call,?,1,1,0,1,1,1,3,1,35,No-Go (low fit),Humanitarian; local orgs. Rolling.
FOL-SG,Small grants — Liberian-led NGOs,Friends of Liberia,Friends of Liberia,Liberia,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/uu7f24ee,2026-07-07,,,Open,Grant call,?,1,1,1,1,0,2,3,1,40,No-Go (low fit),$3K. Rolling.
FLA-RRF,HIV rights rapid response,Frontline AIDS,Frontline AIDS,Global South,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/4wktp2uw,2026-07-07,,,Open,Grant call,?,1,1,1,2,1,2,3,1,46.7,No-Go (low fit),Up to $15K. Rolling.
UAF-RRG,Women's rights rapid response,Urgent Action Fund Africa,UAF-Africa,Africa,EN/FR,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/49cy49pa,2026-07-07,,,Open,Grant call,?,1,1,1,2,1,2,3,1,46.7,No-Go (low fit),Up to $15K. Rolling.
WPHF-RRW,"Women, peace & humanitarian rapid window",UN WPHF,UN WPHF,Conflict-affected,EN/FR,@AfricanNGOs Jun-Jul roundup,https://wphfund.org/rrw-short-term-grants,2026-07-07,,,Open,Grant call,?,1,1,1,2,1,2,3,1,46.7,No-Go (low fit),Up to $100K. Rolling.
RUFF-SG,Nature conservation small grants,Rufford Foundation,Rufford Foundation,Developing countries,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/bdjm2hwv,2026-07-07,,,Open,Grant call,Y,1,1,1,2,1,2,3,1,46.7,No-Go (low fit),GBP 7-18K. Rolling.
META-SIPRA,SIPRA challenge fund — Sudan food security,Meta,Meta,Sudan,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/y8d4px9f,2026-07-07,,,Open,Grant call,?,1,1,1,1,2,2,3,1,46.7,No-Go (low fit),EUR 20-100K smallholders. Rolling.
AAN-SOF,Strategic opportunities fund — women & girls,ActionAid Nigeria,ActionAid Nigeria,Nigeria,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/y2yyf7ms,2026-07-07,,,Open,Grant call,?,1,1,1,2,1,2,3,1,46.7,No-Go (low fit),NGN funds; Nigerian orgs. Rolling.
AJA-WEH,"Water, education & healthcare",AJA Foundation,AJA Foundation,Africa,EN,@AfricanNGOs Jun-Jul roundup,https://tinyurl.com/5747pbdb,2026-07-07,,,Open,Grant call,?,1,1,1,2,1,2,3,1,46.7,No-Go (low fit),Various; sustainable impact. Rolling.
FTSA-CIV,Strengthening & adaptation of forestry training provision — Côte d'Ivoire (RFA),Forestry Training Project,(donor-funded),Côte d'Ivoire,FR/EN,fundsforNGOs,https://www2.fundsforngos.org/listing/empowering-africas-next-generation-through-educational-opportunities/,2026-07-07,2026-07-30,,Open,Grant call,?,2,2,1,2,2,2,2,2,61.7,Maybe - Watch,Training-systems capacity building — closest new fit.
ALSUMAIT-26,AL-Sumait Prize for African Development,Kuwait Foundation (AL-Sumait),AL-Sumait Prize,Africa,EN,fundsforNGOs,https://www2.fundsforngos.org/listing/unlock-africas-most-promising-grants-fellowships-awards-and-innovation-opportunities/,2026-07-07,2026-08-31,,Open,Grant call,Y,2,1,1,3,3,1,3,1,60,Maybe - Watch,"$1M institutional prize; nomination, not bid."
UNESCO-AWH,Conservation grants — African World Heritage properties,African World Heritage Fund,UNESCO,Africa,EN/FR,fundsforNGOs,https://awhf.net/wp-content/uploads/2026/06/Call-for-Applications_Conservation_Grant_English_2026.pdf,2026-07-07,2026-07-31,,Open,Grant call,?,1,1,1,2,2,2,2,2,50,Maybe - Watch,Via govt partnership; heritage sustainability.
