ref,title,issuer,funder,country,language,source,link,found,deadline,value,status,pipeline,eligible,topic_fit,scope_match,funder_fit,geo_language,size_vs_capacity,tech_fin_split,deadline_runway,partnering,score,recommendation,notes
CEPF-MED,CEPF Mediterranean Basin hotspot — large grants (LOI),Critical Ecosystem Partnership Fund,CEPF,North Africa + Med,EN/FR,fundsforNGOs,https://www2.fundsforngos.org/,2026-07-07,2026-09-18,,Open,Grant call,Y,1,1,1,1,2,2,3,2,50,Maybe - Watch,$50-180K; NGOs & universities eligible.
MEST-AI,MEST AI startup incubation program,MEST Africa,MEST,Africa,EN,fundsforNGOs,https://www2.fundsforngos.org/listing/last-chance-250-funding-opportunities-closing-in-july-2026/,2026-07-07,2026-07-20,,Open,Grant call,?,1,1,1,2,1,2,1,1,40,No-Go (low fit),"Funds startups, not orgs — reference only."
IRF-NGA-DOC,Documentation & accountability for religious-freedom abuses — Nigeria,US Dept of State (IRF),US Dept of State (IRF),Nigeria,EN,@AfricanNGOs Jul-Aug roundup,https://files.simpler.grants.gov/opportunities/d253019e-e04d-4cba-86ef-95f2ca4d5ee0/attachments/8fba5d31-54ed-479d-8f2d-502921a89f59/FY25_IRF_NOFO_-_Nigeria_DocAcc_full_disclosure.pdf,2026-07-08,2026-07-09,,Closed,Grant call,?,1,1,1,2,3,2,0,1,43.3,No-Go (low fit),US$3.5M NOFO; 1-day runway.
SONKE-GJ,Strengthening locally led gender-justice movements (EOI),Sonke Gender Justice,Sonke Gender Justice,7 African countries,EN,@AfricanNGOs Jul-Aug roundup,https://genderjustice.org.za/jobs/expression-of-interest-strengthening-locally-led-gender-justice-movements-in-africa,2026-07-08,2026-07-09,,Closed,Grant call,?,1,1,1,2,2,2,0,1,40,No-Go (low fit),Local movement orgs.
FCA-NGA,Fact-checking platforms — Nigeria,FIAP + FactCheckAfrica,FIAP + FactCheckAfrica,Nigeria,EN,@AfricanNGOs Jul-Aug roundup,https://factcheckafrica.net/call-for-expressions-of-interest-technical-support-and-small-grant-for-fact-checking-platforms-in-nigeria,2026-07-08,2026-07-10,,Closed,Grant call,?,1,1,1,2,0,2,0,1,33.3,No-Go (low fit),Micro grant + technical support.
TPEN-EA,"TPEN small grants — menstrual health, East Africa",Irise Institute East Africa,Irise Institute East Africa,East Africa,EN,@AfricanNGOs Jul-Aug roundup,https://tpen.iriseinstituteeastafrica.org/small-grants/open-calls/tpen-small-grants-call-2026,2026-07-08,2026-07-10,,Closed,Grant call,?,1,1,1,2,0,2,0,1,33.3,No-Go (low fit),Member orgs; micro.
UNHCR-IA,UNHCR Innovation Accelerator,UNHCR,UNHCR,Global (displacement),EN,@AfricanNGOs Jul-Aug roundup,https://www.unhcr.org/innovation/innovation-funding/accelerator-funding,2026-07-08,2026-07-12,,Closed,Grant call,Y,2,1,1,2,2,2,0,2,50,Maybe - Watch,Scale proven solutions; up to $250K.
COSPE-FSTP,"Our Rights, Our Future — FSTP",COSPE,COSPE,Multi-country,EN,@AfricanNGOs Jul-Aug roundup,https://www.cospe.org/lavora-con-noi/bandi-e-avvisi,2026-07-08,2026-07-13,,Closed,Grant call,?,2,1,1,2,1,2,0,2,46.7,No-Go (low fit),CSO network strengthening; EUR 20-30K.
LIM-SLF,Sustainable Livelihood Fund — Limpopo,Limpopo Provincial Government,Limpopo Provincial Government,South Africa,EN,@AfricanNGOs Jul-Aug roundup,https://www.limpopo.gov.za/wp-content/uploads/2026/06/Funding-Proposal.pdf,2026-07-08,2026-07-16,,Open,Grant call,?,2,1,1,2,2,2,1,1,50,Maybe - Watch,"Growth, entrepreneurship, employment; ZAR 0.5-3M."
EC-NAM-CS,Civil society & human rights — Namibia,European Commission,European Commission,Namibia,EN,@AfricanNGOs Jul-Aug roundup,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/186758PROSPECTSEN?order=DESC&pageNumber=1&pageSize=50&sortBy=startDate&isExactMatch=true&status=31094502,2026-07-08,2026-07-17,,Open,Grant call,?,1,2,1,2,2,2,1,2,51.7,Maybe - Watch,EUR 1.33M.
HAIDI-AI,Inclusive AI innovations — disability inclusion,HAIDI,HAIDI,Africa,EN,@AfricanNGOs Jul-Aug roundup,https://at4d.org/haidi-innovation-track,2026-07-08,2026-07-17,,Open,Grant call,Y,2,1,1,2,1,2,1,2,50,Maybe - Watch,KES 5M + technical support.
ENABEL-BDI,Citizen engagement & nature-based solutions — Burundi,Enabel,Enabel,Burundi,FR/EN,@AfricanNGOs Jul-Aug roundup,https://www.enabel.be/grants,2026-07-08,2026-07-20,,Open,Grant call,?,1,2,1,1,2,2,1,2,48.3,No-Go (low fit),EUR 280K.
BC-CPF,Cultural Protection Fund,British Council,British Council,8 African countries,EN,@AfricanNGOs Jul-Aug roundup,https://cultural-protection-fund.britishcouncil.org/2026-funding-round,2026-07-08,2026-07-20,,Open,Grant call,Y,1,1,2,2,2,2,1,2,51.7,Maybe - Watch,Heritage at risk; up to GBP 500K.
EC-ZW-GOV,Good local governance & sustainable local economies — Zimbabwe,European Commission,European Commission,Zimbabwe,EN,@AfricanNGOs Jul-Aug roundup,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/187085PROSPECTSEN?order=DESC&pageNumber=1&pageSize=50&sortBy=startDate&keywords=EuropeAid%2F187085%2FDD%2FACT%2FZW&isExactMatch=true&status=31094501,31094502,31094503",2026-07-08,2026-07-21,,Open,Grant call,?,2,2,1,2,3,2,1,2,61.7,Maybe - Watch,EUR 6M; NGO strengthening + local economy.
NEXA-CH,Nexa climate & health initiative,Grand Challenges Canada + Science for Africa Fdn,Grand Challenges Canada + Science for Africa Fdn,Africa,EN,@AfricanNGOs Jul-Aug roundup,https://www.grandchallenges.ca/apply-for-funding,2026-07-08,2026-07-22,,Open,Grant call,Y,2,1,1,3,3,2,1,2,60,Maybe - Watch,US$200K-2M.
UNW-SIARP,Spotlight Initiative Africa Regional Programme 2.0,UN Women Africa,UN Women Africa,Africa (regional),EN,@AfricanNGOs Jul-Aug roundup,https://africa.unwomen.org/en/programme-implementation/2026/06/call-for-proposals-for-civil-society-partnerships-for-implementation-of-the-spotlight-initiative-africa-regional-programme-siarp-20,2026-07-08,2026-07-27,,Open,Grant call,Y,1,2,1,3,2,2,2,2,58.3,Maybe - Watch,CSO partnerships; up to $548K.
EU-ZW-JUST,Stronger justice institutions for local economic development,EU Delegation Zimbabwe,EU Delegation Zimbabwe,Zimbabwe,EN,@AfricanNGOs Jul-Aug roundup,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/187095PROSPECTSEN?isExactMatch=true&status=31094501,31094502,31094503&frameworkProgramme=111111&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate",2026-07-08,2026-07-28,,Open,Grant call,?,2,2,1,2,3,2,2,2,65,GO - Bid,EUR 2.5M; institutional strengthening.
MDDA-CM,Community media funding,MDDA,MDDA,South Africa,EN,@AfricanNGOs Jul-Aug roundup,https://mdda.org.za/funding.html,2026-07-08,2026-07-31,,Open,Grant call,?,1,1,1,2,2,2,2,1,46.7,No-Go (low fit),Media development & diversity.
CA-CSF-ETH,Civil Society Fund Plus — Ethiopia,Christian Aid,Christian Aid,Ethiopia,EN,@AfricanNGOs Jul-Aug roundup,https://caidmicrosites.z33.web.core.windows.net,2026-07-08,2026-08-04,,Open,Grant call,?,2,2,1,3,3,2,2,2,68.3,GO - Bid,EUR 4.05M; LOCAL grassroots orgs — partner route.
ISOC-CGC,Common Good Cyber Fund,Internet Society Foundation,Internet Society Foundation,Global,EN,@AfricanNGOs Jul-Aug roundup,https://www.isocfoundation.org/2026/06/internet-society-foundation-opens-global-call-for-common-good-cyber-fund-to-strengthen-cybersecurity,2026-07-08,2026-08-04,,Open,Grant call,Y,1,1,1,2,2,2,3,2,53.3,Maybe - Watch,Civil-society cybersecurity; up to $300K.
UAF-WRO,Women's rights organisations & networks — grant tiers,Urgent Action Fund-Africa,Urgent Action Fund-Africa,Africa,EN/FR,@AfricanNGOs Jul-Aug roundup,https://www.uaf-africa.org/news_and_events/investing-in-womens-rights-organisations-and-networks-in-africa,2026-07-08,2026-08-12,,Open,Grant call,?,2,1,1,3,2,2,3,2,63.3,Maybe - Watch,$35K-200K incl. knowledge & documentation grants.
WG-BAF,Blue Ambition Fund — SGB capacity & skilling for employment,Wilde Ganzen Foundation,Wilde Ganzen Foundation,Ethiopia / South Africa / Uganda,EN,@AfricanNGOs Jul-Aug roundup,https://www.wildeganzen.org/programs/blue-ambition-fund/baf-call-for-applications#info,2026-07-08,2026-08-15,,Open,Grant call,Y,3,2,1,3,2,2,3,2,75,GO - Bid,EUR 100-300K; skilling + private-sector employment.
BOMB-SKY,Sky Is Not The Limit — social impact grant,Bombshell Impact,Bombshell Impact,Global,EN,@AfricanNGOs Jul-Aug roundup,https://bombshellimpact.com/sky,2026-07-08,2026-08-19,,Open,Grant call,Y,1,1,1,2,0,2,3,1,43.3,No-Go (low fit),US$10K in-kind services.
ADIDAS-MFC,"Moving for Change — sport & gender equality, East Africa",adidas Foundation,adidas Foundation,ETH/KEN/RWA/TZA/UGA,EN,@AfricanNGOs Jul-Aug roundup,https://www.adidasfoundation.org/rfp/moving-for-change-east-africa,2026-07-08,2026-08-21,,Open,Grant call,?,1,1,1,3,3,2,3,2,60,Maybe - Watch,EUR 2.2M RFP.
IDRC-SRHR,SRHR research — sub-Saharan Africa (LOIs),IDRC + Global Affairs Canada + CIHR,IDRC + Global Affairs Canada + CIHR,Sub-Saharan Africa,EN/FR,@AfricanNGOs Jul-Aug roundup,https://idrc-crdi.ca/en/funding/call-letters-interest-addressing-neglected-areas-sexual-and-reproductive-health-and-0,2026-07-08,2026-08-23,,Open,Grant call,Y,2,2,1,3,3,2,3,2,71.7,GO - Bid,Up to 6x CAD1.2M; evidence-focused research.
FS4A-OC2,FoodSafety4Africa — open call 2 (hubs train & mentor),FoodSafety4Africa,FoodSafety4Africa,Africa / EU,EN,@AfricanNGOs Jul-Aug roundup,https://foodsafety4africa.eu/open-call,2026-07-08,2026-08-31,,Open,Grant call,Y,2,2,1,2,2,2,3,2,65,GO - Bid,EUR 200K; training + acceleration.
COMO-WG,Women & girls — partnership funding,COMO Foundation,COMO Foundation,Global,EN,@AfricanNGOs Jul-Aug roundup,https://comofoundation.org/partnerships/becoming-a-partner,2026-07-08,,,Open,Grant call,?,1,1,1,2,1,2,3,1,46.7,No-Go (low fit),Rolling.
UNICEF-EDU-LTA,"Global LTA — education consultancy services (TA, advisory, capacity building)",UNICEF,UNICEF,Global,EN,UNGM,https://www.ungm.org/Public/Notice/297949,2026-07-08,,,Unknown,Tender,Y,2,2,1,2,3,2,2,2,65,GO - Bid,3-7 yr LTA; verify deadline on notice.
NL-KEN-PSD,Private sector development & business climate enhancement — concept notes,Netherlands Embassy Kenya,Netherlands MFA,Kenya,EN,Impact Funding (Jul),https://www.netherlandsandyou.nl/web/kenya/w/call-for-concept-notes-private-sector-development-and-business-climate-enhancement,2026-07-16,2026-07-19,,Closing soon,Grant call,Y,3,2,1,3,3,2,0,2,68.3,GO - Bid,Knowledge institutes eligible; reform needs govt partner.
UNDP-GALS-SS,GALS methodology development + ToT (300 trainers) — READ programme,UNDP South Sudan,UNDP,South Sudan,EN,Impact Funding (Jul),https://procurement-notices.undp.org/view_notice.cfm?notice_id=98727,2026-07-16,2026-12-18,,Open,Tender,Y,3,3,1,2,2,1,3,2,73.3,GO - Bid,Curriculum + ToT delivery contract; UN process caveat.
IDRC-SGCI,Multilateral research call — Africa STI Strategy (consortia EOIs),IDRC + SGCI,IDRC,Africa (SGCI countries),EN/FR,Terra Viva Grants,https://idrc-crdi.ca/en/funding/supporting-stisa-2034-sgci-multilateral-research-call-advancing-africas-science-technology,2026-07-16,2026-09-25,,Open,Grant call,?,2,2,2,3,2,2,3,3,76.7,GO - Bid,SGCI-country institutions lead; partner route.
CG-AIGHW,RFP: Global health & wellbeing in an era of transformative AI,Coefficient Giving,Coefficient (GHW Fund),Global (global-poor focus),EN,coefficientgiving.org,https://coefficientgiving.org/funds/global-health-wellbeing-opportunities/request-for-proposals-global-health-and-wellbeing-in-an-era-of-transformative-ai/,2026-07-16,2026-08-21,,Open,Grant call,Y,2,2,2,2,2,2,3,2,70,GO - Bid,"Research, policy, field-building; rolling review."
CG-LITREV,Living literature reviews — Abundance & Growth Fund,Coefficient Giving,Coefficient (A&G Fund),Global,EN,coefficientgiving.org,https://coefficientgiving.org/funds/abundance-and-growth/living-literature-reviews/,2026-07-16,,,Open,Grant call,Y,2,2,2,2,2,2,3,1,66.7,GO - Bid,Policy-research synthesis; rolling.
CG-LEAD,RFP: Global lead poisoning research (with CGD),Coefficient Giving + CGD,Coefficient (Lead Fund),Global,EN,coefficientgiving.org,https://www.cgdev.org/blog/momentum-tackling-global-lead-poisoning-continues-grow-theres-still-much-we-dont-know-so-were,2026-07-16,2026-08-02,,Open,Grant call,Y,2,2,2,2,2,2,2,2,66.7,GO - Bid,Incl. policy-effectiveness research.
NASDAQ-EO,"Economic opportunity grants — financial literacy, access to capital (EOI)",Nasdaq Foundation,Nasdaq Foundation,US-primary,EN,Impact Funding (Jul),https://www.nasdaq.com/nasdaq-foundation/grant-program,2026-07-16,2026-07-31,,Open,Grant call,?,3,2,1,1,2,2,2,1,61.7,Maybe - Watch,Thematic bullseye; US 501(c)(3) gate.
LIPMAN-27,Lipman Family Prize — social & economic impact orgs,Wharton / Lipman Family,Lipman Family Prize,Global,EN,Terra Viva Grants,https://lipmanfamilyprize.wharton.upenn.edu/about-the-prize/,2026-07-16,2026-07-31,,Open,Grant call,Y,2,1,1,2,2,2,2,1,53.3,Maybe - Watch,$250K winner + 2x $125K.
MRF-RISK,"2027 RISK Award — climate resilience, informal settlements",Munich Re Foundation + UNDRR,Munich Re Foundation,Global,EN,Impact Funding (Jul),https://www.munichre-foundation.org/en/climate-adaptation/risk-award/news/2027-risk-award-call.html,2026-07-16,2026-07-31,,Open,Grant call,Y,1,1,1,2,2,2,2,2,50,Maybe - Watch,EUR 100K; two-phase.
TAIWAN-GH,Go Healthy with Taiwan — global proposal campaign,TAITRA / Taiwan Excellence,TAITRA,Global,EN,Impact Funding (Jul),https://gohealthy.taiwanexcellence.org/,2026-07-16,2026-08-05,,Open,Grant call,Y,1,1,1,2,2,2,3,2,53.3,Maybe - Watch,Must integrate a Taiwanese solution.
ARIA-SEEDS,Opportunity Seeds — climate & weather (high-risk R&D),ARIA (UK),ARIA,UK benefit required,EN,Impact Funding (Jul),https://aria.org.uk/opportunity-spaces/future-proofing-our-climate-and-weather/funding,2026-07-16,2026-07-31,,Open,Grant call,?,1,1,1,1,2,2,2,1,43.3,No-Go (low fit),Non-UK applicants must show UK benefit.
